Model_ID,Imitation,Shield_Active,Shield_Dist,Reward_Active,Reward_Dist,Total_Steps_Planned,Step,Deaths,Reward_Accumulated,Efficiency,PPM,Interventions,Penalties
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,20000,110,1669.9998779296875,0.0834999904036521,15.181817054748535,2557,3068
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,30000,169,1982.6671142578125,0.0660889074206352,11.73175811767578,3961,4770
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,40000,223,4141.30419921875,0.1035326048731803,18.57087135314941,5245,6354
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,50000,279,7399.4111328125,0.1479882299900055,26.52118682861328,6638,8074
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,60000,327,12924.3193359375,0.2154053151607513,39.52391052246094,7876,9637
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,70000,370,18266.216796875,0.2609459459781647,49.3681526184082,9031,11109
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,80000,418,22823.216796875,0.2852902114391327,54.60099792480469,10131,12432
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,90000,466,28784.576171875,0.3198286294937134,61.76947784423828,11338,13917
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,100000,513,33232.265625,0.3323226571083069,64.78024291992188,12504,15437
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,110000,559,37752.9375,0.3432085216045379,67.53656005859375,13652,16851
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,120000,599,44541.35546875,0.3711779713630676,74.35952758789062,14703,18299
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,130000,647,49212.90234375,0.3785607814788818,76.06321716308594,15911,19768
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,140000,688,54914.0546875,0.3922432363033294,79.81694030761719,16959,21113
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,150000,736,59761.6015625,0.3984106779098511,81.19783020019531,18070,22499
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,160000,783,64745.5390625,0.404659628868103,82.6890640258789,19225,23917
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,170000,824,71110.8046875,0.4182988405227661,86.29952239990234,20297,25328
